头像	英雄名称	Hero name	详情
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_antimage.png">	敌法师	antimage	<a href="https://www.dota2.com.cn/hero/antimage">敌法师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_axe.png">	斧王	axe	<a href="http://www.dota2.com.cn/hero/axe/">斧王详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bane.png">	祸乱之源	bane	<a href="http://www.dota2.com.cn/hero/bane/">祸乱之源详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bloodseeker.png">	血魔	bloodseeker	<a href="http://www.dota2.com.cn/hero/bloodseeker/">血魔详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_crystal_maiden.png">	水晶室女	crystal_maiden	<a href="http://www.dota2.com.cn/hero/crystal_maiden/">水晶室女详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_drow_ranger.png">	卓尔游侠	drow_ranger	<a href="http://www.dota2.com.cn/hero/drow_ranger/">卓尔游侠详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_earthshaker.png">	撼地者	earthshaker	<a href="http://www.dota2.com.cn/hero/earthshaker/">撼地者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_juggernaut.png">	主宰	juggernaut	<a href="http://www.dota2.com.cn/hero/juggernaut/">主宰详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_mirana.png">	米拉娜	mirana	<a href="http://www.dota2.com.cn/hero/mirana/">米拉娜详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_nevermore.png">	影魔	nevermore	<a href="http://www.dota2.com.cn/hero/shadow_fiend/">影魔详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_morphling.png">	变体精灵	morphling	<a href="http://www.dota2.com.cn/hero/morphling/">变体精灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phantom_lancer.png">	幻影长矛手	phantom_lancer	<a href="http://www.dota2.com.cn/hero/phantom_lancer/">幻影长矛手详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_puck.png">	帕克	puck	<a href="http://www.dota2.com.cn/hero/puck/">帕克详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pudge.png">	帕吉	pudge	<a href="http://www.dota2.com.cn/hero/pudge/">帕吉详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_razor.png">	剃刀	razor	<a href="http://www.dota2.com.cn/hero/razor/">剃刀详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sand_king.png">	沙王	sand_king	<a href="http://www.dota2.com.cn/hero/sand_king/">沙王详情</a>
